review_id,fav_heroe,fav_villain,fav_film,fav_soundtrack,fav_spaceship,fav_planet,fav_robot
94,Anakin Skywalker,Count Dooku,Episode IV - A New Hope,Star Wars (Main Theme),Naboo Starfighter,Tatooine,C-3PO
95,Leia,Count Dooku,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
96,Luke Skywalker,General Grievous,Episode III - Revenge of the Sith,Star Wars (Main Theme),Naboo Starfighter,Tatooine,R2-D2
97,Qui-Gon Jinn,Darth Vader,Episode I - The Phantom Menace,Imperial March,Naboo Starfighter,Tatooine,R2-D2
98,Obi-Wan Kenobi,Palpatine,Episode IV - A New Hope,Star Wars (Main Theme),TIE Fighter,Dagobah,C-3PO
99,Chewbacca,Darth Maul,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
100,Leia,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
101,Luke Skywalker,Darth Vader,Episode II - Attack of the Clones,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
102,Luke Skywalker,Count Dooku,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
103,Han Solo,Darth Maul,Episode V - The Empire Strikes Back,Imperial March,Naboo Starfighter,Naboo,R2-D2
104,Qui-Gon Jinn,Wilhuff Tarkin,Episode VI - Return of the Jedi,Star Wars (Main Theme),Naboo Starfighter,Endor,C-3PO
105,Yoda,Count Dooku,Episode II - Attack of the Clones,Accross the Stars,Naboo Starfighter,Dagobah,R2-D2
106,Luke Skywalker,Darth Maul,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Naboo,C-3PO
107,Leia,Palpatine,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Endor,C-3PO
108,Leia,General Grievous,Episode III - Revenge of the Sith,Imperial March,Millennium Falcon,Tatooine,C-3PO
109,Luke Skywalker,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Endor,Battle Droid
110,Obi-Wan Kenobi,General Grievous,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
111,Anakin Skywalker,Count Dooku,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
112,Yoda,Palpatine,Episode I - The Phantom Menace,Imperial March,TIE Fighter,Tatooine,R2-D2
113,Anakin Skywalker,Darth Maul,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Naboo,Battle Droid
114,Han Solo,Palpatine,Episode IV - A New Hope,Imperial March,Millennium Falcon,Naboo,C-3PO
115,Han Solo,Palpatine,Episode II - Attack of the Clones,Imperial March,Millennium Falcon,Naboo,C-3PO
116,Anakin Skywalker,Darth Maul,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Tatooine,Battle Droid
117,Han Solo,Darth Maul,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Naboo,Battle Droid
118,Yoda,Darth Vader,Episode I - The Phantom Menace,The Throne Room,Naboo Starfighter,Naboo,Battle Droid
119,Leia,Wilhuff Tarkin,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Naboo Starfighter,Naboo,R2-D2
120,Luke Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Naboo,C-3PO
121,Anakin Skywalker,Darth Maul,Episode V - The Empire Strikes Back,The Throne Room,Naboo Starfighter,Naboo,Battle Droid
122,Qui-Gon Jinn,Darth Maul,Episode I - The Phantom Menace,Imperial March,Millennium Falcon,Tatooine,C-3PO
123,Han Solo,Palpatine,Episode IV - A New Hope,Imperial March,Millennium Falcon,Tatooine,R2-D2
124,Han Solo,Darth Maul,Episode VI - Return of the Jedi,Star Wars (Main Theme),TIE Fighter,Naboo,C-3PO
125,Yoda,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Naboo,Battle Droid
126,Luke Skywalker,Darth Vader,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Naboo,R2-D2
127,Anakin Skywalker,Darth Vader,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Endor,C-3PO
128,Anakin Skywalker,Darth Vader,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
129,Leia,General Grievous,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Endor,R2-D2
130,Luke Skywalker,General Grievous,Episode I - The Phantom Menace,The Throne Room,Millennium Falcon,Naboo,C-3PO
131,Yoda,General Grievous,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,R2-D2
132,Leia,Count Dooku,Episode VI - Return of the Jedi,Star Wars (Main Theme),Naboo Starfighter,Dagobah,R2-D2
133,Qui-Gon Jinn,Darth Maul,Episode IV - A New Hope,Imperial March,Millennium Falcon,Naboo,C-3PO
134,Leia,Count Dooku,Episode II - Attack of the Clones,Imperial March,Death Star,Naboo,C-3PO
135,Obi-Wan Kenobi,Darth Maul,Episode I - The Phantom Menace,Imperial March,Naboo Starfighter,Endor,C-3PO
136,Leia,Darth Maul,Episode IV - A New Hope,Imperial March,Naboo Starfighter,Naboo,Battle Droid
137,Anakin Skywalker,Palpatine,Episode V - The Empire Strikes Back,Imperial March,TIE Fighter,Naboo,R2-D2
138,Han Solo,General Grievous,Episode V - The Empire Strikes Back,Star Wars (Main Theme),TIE Fighter,Tatooine,R2-D2
139,Yoda,General Grievous,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Naboo,Droideka
140,Han Solo,General Grievous,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,R2-D2
141,Anakin Skywalker,Darth Vader,Episode VI - Return of the Jedi,Star Wars (Main Theme),Naboo Starfighter,Naboo,R2-D2
142,Han Solo,Darth Maul,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
143,Han Solo,Darth Maul,Episode III - Revenge of the Sith,Imperial March,Millennium Falcon,Naboo,C-3PO
144,Luke Skywalker,Darth Vader,Episode II - Attack of the Clones,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
145,Yoda,Count Dooku,Episode III - Revenge of the Sith,The Throne Room,TIE Fighter,Tatooine,R2-D2
146,Luke Skywalker,Darth Vader,Episode IV - A New Hope,Imperial March,Millennium Falcon,Tatooine,R2-D2
147,Obi-Wan Kenobi,Palpatine,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Naboo,R2-D2
148,Han Solo,Darth Vader,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Endor,R2-D2
149,Obi-Wan Kenobi,Wilhuff Tarkin,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Tatooine,R2-D2
150,Obi-Wan Kenobi,Count Dooku,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Naboo,C-3PO
151,Luke Skywalker,Darth Maul,Episode IV - A New Hope,The Throne Room,Millennium Falcon,Dagobah,C-3PO
152,Jar Jar Binks,Count Dooku,Episode III - Revenge of the Sith,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
153,Anakin Skywalker,Wilhuff Tarkin,Episode VI - Return of the Jedi,The Throne Room,Naboo Starfighter,Tatooine,R2-D2
154,Obi-Wan Kenobi,Palpatine,Episode I - The Phantom Menace,Imperial March,TIE Fighter,Naboo,Droideka
155,Obi-Wan Kenobi,Wilhuff Tarkin,Episode IV - A New Hope,Imperial March,Millennium Falcon,Tatooine,R2-D2
156,Qui-Gon Jinn,Darth Vader,Episode VI - Return of the Jedi,Star Wars (Main Theme),Naboo Starfighter,Naboo,R2-D2
157,Yoda,Palpatine,Episode I - The Phantom Menace,The Throne Room,Millennium Falcon,Tatooine,C-3PO
158,Obi-Wan Kenobi,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Naboo Starfighter,Tatooine,C-3PO
159,Han Solo,Darth Vader,Episode IV - A New Hope,The Throne Room,Naboo Starfighter,Tatooine,Battle Droid
160,Anakin Skywalker,Count Dooku,Episode IV - A New Hope,Imperial March,Millennium Falcon,Naboo,R2-D2
161,Obi-Wan Kenobi,Darth Vader,Episode IV - A New Hope,Imperial March,Millennium Falcon,Alderaan,R2-D2
162,Luke Skywalker,Darth Maul,Episode IV - A New Hope,The Throne Room,TIE Fighter,Naboo,R2-D2
163,Han Solo,Palpatine,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Endor,R2-D2
164,Jar Jar Binks,Darth Vader,Episode VI - Return of the Jedi,Star Wars (Main Theme),TIE Fighter,Endor,R2-D2
165,Yoda,Wilhuff Tarkin,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Naboo,C-3PO
166,Han Solo,Darth Maul,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Death Star,Endor,R2-D2
167,Leia,Palpatine,Episode I - The Phantom Menace,Star Wars (Main Theme),TIE Fighter,Tatooine,C-3PO
168,Chewbacca,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Alderaan,R2-D2
169,Leia,General Grievous,Episode IV - A New Hope,Imperial March,Naboo Starfighter,Tatooine,C-3PO
170,Leia,General Grievous,Episode IV - A New Hope,Imperial March,Naboo Starfighter,Naboo,R2-D2
171,Obi-Wan Kenobi,Darth Vader,Episode IV - A New Hope,Imperial March,Millennium Falcon,Endor,Battle Droid
172,Yoda,Darth Maul,Episode V - The Empire Strikes Back,The Throne Room,Naboo Starfighter,Tatooine,C-3PO
173,Han Solo,Darth Vader,Episode I - The Phantom Menace,Anakin vs. Obi-Wan,Millennium Falcon,Alderaan,R2-D2
174,Chewbacca,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Endor,R2-D2
175,Luke Skywalker,General Grievous,Episode I - The Phantom Menace,Accross the Stars,Millennium Falcon,Endor,C-3PO
176,Obi-Wan Kenobi,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
177,Han Solo,Darth Vader,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Endor,R2-D2
178,Anakin Skywalker,Count Dooku,Episode IV - A New Hope,Imperial March,Millennium Falcon,Naboo,R2-D2
179,Han Solo,Darth Maul,Episode V - The Empire Strikes Back,The Throne Room,Naboo Starfighter,Dagobah,Battle Droid
180,Yoda,Palpatine,Episode V - The Empire Strikes Back,Star Wars (Main Theme),TIE Fighter,Naboo,R2-D2
181,Leia,Darth Vader,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Dagobah,Droideka
182,Han Solo,Darth Maul,Episode III - Revenge of the Sith,Imperial March,Millennium Falcon,Naboo,R2-D2
183,Han Solo,Count Dooku,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Tatooine,Battle Droid
184,Leia,General Grievous,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
185,Anakin Skywalker,Darth Maul,Episode IV - A New Hope,The Throne Room,Millennium Falcon,Alderaan,Droideka
186,Anakin Skywalker,General Grievous,Episode VI - Return of the Jedi,The Throne Room,Naboo Starfighter,Tatooine,Battle Droid
187,Yoda,Darth Vader,Episode III - Revenge of the Sith,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
188,Luke Skywalker,Darth Maul,Episode I - The Phantom Menace,Star Wars (Main Theme),Naboo Starfighter,Tatooine,R2-D2
189,Leia,General Grievous,Episode V - The Empire Strikes Back,Imperial March,Naboo Starfighter,Tatooine,R2-D2
190,Luke Skywalker,Palpatine,Episode III - Revenge of the Sith,Star Wars (Main Theme),Naboo Starfighter,Naboo,R2-D2
191,Luke Skywalker,Darth Vader,Episode VI - Return of the Jedi,The Throne Room,Millennium Falcon,Dagobah,C-3PO
192,Leia,Wilhuff Tarkin,Episode V - The Empire Strikes Back,Imperial March,TIE Fighter,Alderaan,C-3PO
193,Luke Skywalker,Darth Vader,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
194,Leia,Palpatine,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Endor,R2-D2
195,Yoda,Wilhuff Tarkin,Episode VI - Return of the Jedi,Imperial March,TIE Fighter,Dagobah,C-3PO
196,Obi-Wan Kenobi,General Grievous,Episode IV - A New Hope,Star Wars (Main Theme),Naboo Starfighter,Endor,Battle Droid
197,Qui-Gon Jinn,Darth Vader,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Naboo,Battle Droid
198,Anakin Skywalker,Count Dooku,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Dagobah,C-3PO
199,Luke Skywalker,Darth Vader,Episode V - The Empire Strikes Back,The Throne Room,Millennium Falcon,Tatooine,C-3PO
200,Han Solo,Darth Maul,Episode IV - A New Hope,Imperial March,Millennium Falcon,Tatooine,R2-D2
201,Yoda,Darth Maul,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
202,Obi-Wan Kenobi,Darth Vader,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
203,Han Solo,Palpatine,Episode V - The Empire Strikes Back,The Throne Room,Millennium Falcon,Naboo,C-3PO
204,Luke Skywalker,Palpatine,Episode I - The Phantom Menace,Star Wars (Main Theme),Naboo Starfighter,Naboo,C-3PO
205,Jar Jar Binks,Darth Vader,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Endor,R2-D2
206,Anakin Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
207,Obi-Wan Kenobi,General Grievous,Episode I - The Phantom Menace,Imperial March,Millennium Falcon,Tatooine,R2-D2
208,Yoda,Darth Vader,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Naboo,C-3PO
209,Obi-Wan Kenobi,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Dagobah,R2-D2
210,Jar Jar Binks,Count Dooku,Episode VI - Return of the Jedi,Star Wars (Main Theme),TIE Fighter,Naboo,C-3PO
211,Anakin Skywalker,Darth Maul,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Tatooine,Battle Droid
212,Luke Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Naboo,C-3PO
213,Anakin Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Star Wars (Main Theme),TIE Fighter,Naboo,R2-D2
214,Han Solo,Darth Maul,Episode II - Attack of the Clones,Imperial March,Millennium Falcon,Endor,C-3PO
215,Qui-Gon Jinn,Darth Maul,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
216,Obi-Wan Kenobi,Darth Vader,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
217,Han Solo,Darth Vader,Episode IV - A New Hope,Imperial March,Millennium Falcon,Dagobah,C-3PO
218,Obi-Wan Kenobi,Darth Maul,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Dagobah,R2-D2
219,Chewbacca,Darth Vader,Episode III - Revenge of the Sith,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
220,Han Solo,Palpatine,Episode I - The Phantom Menace,Imperial March,TIE Fighter,Tatooine,R2-D2
221,Obi-Wan Kenobi,Palpatine,Episode V - The Empire Strikes Back,Accross the Stars,Millennium Falcon,Naboo,Droideka
222,Leia,Palpatine,Episode V - The Empire Strikes Back,Accross the Stars,Naboo Starfighter,Alderaan,R2-D2
223,Han Solo,Palpatine,Episode IV - A New Hope,Imperial March,Millennium Falcon,Tatooine,Battle Droid
224,Yoda,Darth Vader,Episode VI - Return of the Jedi,Star Wars (Main Theme),Naboo Starfighter,Naboo,R2-D2
225,Obi-Wan Kenobi,Darth Maul,Episode II - Attack of the Clones,Imperial March,Millennium Falcon,Endor,R2-D2
226,Jar Jar Binks,Palpatine,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Dagobah,C-3PO
